0,1400
1,1400
2,1399
3,1397
4,1397
5,1390
6,1385
7,1382
8,1380
9,1376
10,1376
11,1374
12,1372
13,1371
14,1370
15,1368
16,1366
17,1363
18,1362
19,1360
20,1360
21,1360
22,1353
23,1350
24,1350
25,1345
26,1341
27,1338
28,1336
29,1395
30,1321
31,1321
32,1320
33,1320
34,1316
35,1315
36,1310
37,1310
38,1310
39,1308
40,1306
41,1306
42,1305
43,1301
44,1300
45,1299
46,1297
47,1296
48,1296
49,1296
50,1295
51,1290
52,1285
53,1276
54,1275
55,1275
56,1275
57,1275
58,1270
59,1270
60,1268
61,1266
62,1266
63,1265
64,1260
65,1260
66,1255
67,1254
68,1300
69,2650
70,1246
71,1245
72,1933
73,1240
74,1239
75,1236
76,1230
77,1230
78,1226
79,1225
80,1224
81,1223
82,1221
83,1220
84,1218
85,1215
86,1215
87,1205
88,1203
89,1200
90,1197
91,1196
92,1196
93,1196
94,1193
95,1190
96,1190
97,1186
98,1181
99,1180
100,1180
101,1178
102,1175
103,1171
104,1170
105,1166
106,1165
107,1161
108,1160
109,1156
110,1155
111,1155
112,1153
113,1150
114,1141
115,1140
116,1140
117,1140
118,1140
119,1137
120,1135
121,1134
122,1134
123,1131
124,1130
125,1126
126,1125
127,1125
128,1125
129,1122
130,1121
131,1120
132,1115
133,1113
134,1113
135,2516
136,1110
137,1106
138,1105
139,1181
140,1101
141,1200
142,1100
143,1100
144,1100
145,1095
146,1095
147,1091
148,1190
149,1090
150,1089
151,1086
152,1081
153,1080
154,1080
155,1077
156,1070
157,1070
158,1065
159,1063
160,1062
161,1060
162,1055
163,1054
164,1051
165,1051
166,1050
167,1050
168,1050
169,1050
170,1050
171,1050
172,1050
173,1050
174,1045
175,1040
176,1036
177,1035
178,1031
179,1030
180,1030
181,1030
182,1030
183,1030
184,1015
185,1015
186,1010
187,1005
188,1005
189,1005
190,1001
191,1001
192,1001
193,1000
194,1000
195,1000
196,1000
197,1000
198,999
199,999
200,996
201,992
202,1017
203,976
204,970
205,965
206,965
207,961
208,960
209,960
210,960
211,958
212,955
213,955
214,955
215,953
216,951
217,950
218,949
219,947
220,941
221,940
222,930
223,925
224,922
225,921
226,920
227,917
228,914
229,911
230,905
231,903
232,1377
233,900
234,900
235,899
236,895
237,894
238,892
239,890
240,890
241,889
242,888
243,887
244,1107
245,881
246,880
247,875
248,875
249,872
250,870
251,870
252,870
253,867
254,865
255,865
256,864
257,863
258,862
259,861
260,860
261,859
262,857
263,856
264,855
265,850
266,850
267,849
268,849
269,844
270,840
271,836
272,835
273,835
274,831
275,830
276,830
277,2480
278,826
279,825
280,825
281,824
282,820
283,815
284,815
285,815
286,811
287,811
288,805
289,804
290,803
291,801
292,900
293,800
294,800
295,1798
296,797
297,796
298,795
299,795
300,792
301,790
302,790
303,790
304,789
305,704
306,805
307,775
308,775
309,775
310,774
311,774
312,823
313,767
314,766
315,765
316,1015
317,765
318,765
319,760
320,760
321,760
322,760
323,757
324,755
325,755
326,750
327,750
328,750
329,750
330,748
331,746
332,745
333,745
334,745
335,743
336,966
337,740
338,740
339,739
340,738
341,736
342,735
343,735
344,735
345,734
346,733
347,730
348,728
349,726
350,725
351,725
352,724
353,720
354,720
355,720
356,720
357,720
358,715
359,715
360,715
361,712
362,710
363,710
364,710
365,707
366,706
367,705
368,705
369,700
370,700
371,700
372,700
373,698
374,695
375,695
376,695
377,690
378,690
379,690
380,688
381,685
382,681
383,778
384,676
385,676
386,676
387,675
388,675
389,674
390,670
391,667
392,665
393,739
394,661
395,660
396,660
397,660
398,659
399,658
400,654
401,653
402,651
403,651
404,650
405,646
406,643
407,641
408,640
409,640
410,640
411,639
412,670
413,635
414,631
415,630
416,630
417,626
418,625
419,625
420,621
421,620
